function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
pgd_osl,0.01,N/A,N/A,True,N/A,N/A,304,0.044449373420901786
pdg_ridge,0.01,N/A,0.01,True,N/A,N/A,1000,2.337020680286685
pdg_ridge,0.01,N/A,0.05,True,N/A,N/A,1000,2.337148016932306
pdg_ridge,0.01,N/A,0.1,True,N/A,N/A,1000,2.3373071709311004
pdg_ridge,0.01,N/A,0.5,True,N/A,N/A,1000,2.338579730860855
pgd_osl,0.1,N/A,N/A,True,N/A,N/A,34,0.04442592069817966
pdg_ridge,0.1,N/A,0.01,True,N/A,N/A,1000,0.07361059483588771
pdg_ridge,0.1,N/A,0.05,True,N/A,N/A,1000,0.07532148793642865
pdg_ridge,0.1,N/A,0.1,True,N/A,N/A,1000,0.07745862589870657
pdg_ridge,0.1,N/A,0.5,True,N/A,N/A,1000,0.09449676711675113
pgd_osl,0.2,N/A,N/A,True,N/A,N/A,16,0.044424874932126227
pdg_ridge,0.2,N/A,0.01,True,N/A,N/A,1000,0.04512284356496036
pdg_ridge,0.2,N/A,0.05,True,N/A,N/A,1000,0.04702161251001226
pdg_ridge,0.2,N/A,0.1,True,N/A,N/A,1000,0.049393075742876984
pdg_ridge,0.2,N/A,0.5,True,N/A,N/A,1000,0.06828517705811002
pgd_osl,0.5,N/A,N/A,True,N/A,N/A,4,0.04442427659141179
pdg_ridge,0.5,N/A,0.01,True,N/A,N/A,468,0.04494238299595185
pdg_ridge,0.5,N/A,0.05,True,N/A,N/A,465,0.0468528309702759
pdg_ridge,0.5,N/A,0.1,True,N/A,N/A,461,0.04923873224940538
pdg_ridge,0.5,N/A,0.5,True,N/A,N/A,430,0.06822748288480696
gdm_ols,0.01,0.1,N/A,True,N/A,N/A,276,0.044446060399471424
gdm_ridge,0.01,0.1,0.01,True,N/A,N/A,1000,2.216393367095845
gdm_ridge,0.01,0.1,0.05,True,N/A,N/A,1000,2.216545673614568
gdm_ridge,0.01,0.1,0.1,True,N/A,N/A,1000,2.2167360345207174
gdm_ridge,0.01,0.1,0.5,True,N/A,N/A,1000,2.2182580324736
gdm_ols,0.1,0.1,N/A,True,N/A,N/A,30,0.044425438398798936
gdm_ridge,0.1,0.1,0.01,True,N/A,N/A,1000,0.06160611068105818
gdm_ridge,0.1,0.1,0.05,True,N/A,N/A,1000,0.0633694213912788
gdm_ridge,0.1,0.1,0.1,True,N/A,N/A,1000,0.06557196349739769
gdm_ridge,0.1,0.1,0.5,True,N/A,N/A,1000,0.08312864871074616
gdm_ols,0.2,0.1,N/A,True,N/A,N/A,13,0.04442456882759477
gdm_ridge,0.2,0.1,0.01,True,N/A,N/A,980,0.04499345480200185
gdm_ridge,0.2,0.1,0.05,True,N/A,N/A,975,0.04690253444969467
gdm_ridge,0.2,0.1,0.1,True,N/A,N/A,969,0.0492862366359513
gdm_ridge,0.2,0.1,0.5,True,N/A,N/A,921,0.06825898160034549
gdm_ols,0.5,0.1,N/A,True,N/A,N/A,7,0.04442458093038265
gdm_ridge,0.5,0.1,0.01,True,N/A,N/A,424,0.04493865044774382
gdm_ridge,0.5,0.1,0.05,True,N/A,N/A,421,0.04684944430706826
gdm_ridge,0.5,0.1,0.1,True,N/A,N/A,418,0.04923480726027836
gdm_ridge,0.5,0.1,0.5,True,N/A,N/A,389,0.06822502650143264
gdm_ols,0.01,0.2,N/A,True,N/A,N/A,247,0.044443276752034945
gdm_ridge,0.01,0.2,0.01,True,N/A,N/A,1000,2.0745141877251805
gdm_ridge,0.01,0.2,0.05,True,N/A,N/A,1000,2.074699520351051
gdm_ridge,0.01,0.2,0.1,True,N/A,N/A,1000,2.0749311558493218
gdm_ridge,0.01,0.2,0.5,True,N/A,N/A,1000,2.0767830290734834
gdm_ols,0.1,0.2,N/A,True,N/A,N/A,25,0.04442525436302928
gdm_ridge,0.1,0.2,0.01,True,N/A,N/A,1000,0.05338365228326723
gdm_ridge,0.1,0.2,0.05,True,N/A,N/A,1000,0.05519360650536207
gdm_ridge,0.1,0.2,0.1,True,N/A,N/A,1000,0.05745433579861838
gdm_ridge,0.1,0.2,0.5,True,N/A,N/A,1000,0.07547185849543663
gdm_ols,0.2,0.2,N/A,True,N/A,N/A,11,0.04442435860125138
gdm_ridge,0.2,0.2,0.01,True,N/A,N/A,880,0.044983155634821026
gdm_ridge,0.2,0.2,0.05,True,N/A,N/A,875,0.04689281307269285
