function name,learning rate,lambda,mini batch size,epochs,score
FFNN,0.0001,0.001,5,100,0.6228070175438597
FFNN,0.0001,0.01,5,100,0.6228070175438597
FFNN,0.0001,0.1,5,100,0.37719298245614036
FFNN,0.0001,0.5,5,100,0.6228070175438597
FFNN,0.001,0.001,5,100,0.6228070175438597
FFNN,0.001,0.01,5,100,0.4649122807017544
FFNN,0.001,0.1,5,100,0.7280701754385965
FFNN,0.001,0.5,5,100,0.3684210526315789
FFNN,0.01,0.001,5,100,0.6228070175438597
FFNN,0.01,0.01,5,100,0.6228070175438597
FFNN,0.01,0.1,5,100,0.6228070175438597
FFNN,0.01,0.5,5,100,0.6228070175438597
FFNN,0.1,0.001,5,100,0.7631578947368421
FFNN,0.1,0.01,5,100,0.7543859649122807
FFNN,0.1,0.1,5,100,0.7982456140350878
FFNN,0.1,0.5,5,100,0.6228070175438597
FFNN,0.0001,0.001,10,100,0.37719298245614036
FFNN,0.0001,0.01,10,100,0.6754385964912281
FFNN,0.0001,0.1,10,100,0.37719298245614036
FFNN,0.0001,0.5,10,100,0.37719298245614036
FFNN,0.001,0.001,10,100,0.37719298245614036
FFNN,0.001,0.01,10,100,0.37719298245614036
FFNN,0.001,0.1,10,100,0.37719298245614036
FFNN,0.001,0.5,10,100,0.37719298245614036
FFNN,0.01,0.001,10,100,0.6228070175438597
FFNN,0.01,0.01,10,100,0.6228070175438597
FFNN,0.01,0.1,10,100,0.6228070175438597
FFNN,0.01,0.5,10,100,0.6228070175438597
FFNN,0.1,0.001,10,100,0.6228070175438597
FFNN,0.1,0.01,10,100,0.7368421052631579
FFNN,0.1,0.1,10,100,0.7105263157894737
FFNN,0.1,0.5,10,100,0.6578947368421053
FFNN,0.0001,0.001,15,100,0.37719298245614036
FFNN,0.0001,0.01,15,100,0.37719298245614036
FFNN,0.0001,0.1,15,100,0.8157894736842105
FFNN,0.0001,0.5,15,100,0.37719298245614036
FFNN,0.001,0.001,15,100,0.3508771929824561
FFNN,0.001,0.01,15,100,0.39473684210526316
FFNN,0.001,0.1,15,100,0.37719298245614036
FFNN,0.001,0.5,15,100,0.37719298245614036
FFNN,0.01,0.001,15,100,0.6228070175438597
FFNN,0.01,0.01,15,100,0.6228070175438597
FFNN,0.01,0.1,15,100,0.6228070175438597
FFNN,0.01,0.5,15,100,0.6228070175438597
FFNN,0.1,0.001,15,100,0.6228070175438597
FFNN,0.1,0.01,15,100,0.7543859649122807
FFNN,0.1,0.1,15,100,0.631578947368421
FFNN,0.1,0.5,15,100,0.6228070175438597
FFNN,0.0001,0.001,20,100,0.37719298245614036
FFNN,0.0001,0.01,20,100,0.6228070175438597
FFNN,0.0001,0.1,20,100,0.3684210526315789
FFNN,0.0001,0.5,20,100,0.37719298245614036
FFNN,0.001,0.001,20,100,0.37719298245614036
FFNN,0.001,0.01,20,100,0.6228070175438597
FFNN,0.001,0.1,20,100,0.37719298245614036
FFNN,0.001,0.5,20,100,0.6228070175438597
FFNN,0.01,0.001,20,100,0.6228070175438597
FFNN,0.01,0.01,20,100,0.6754385964912281
FFNN,0.01,0.1,20,100,0.6228070175438597
FFNN,0.01,0.5,20,100,0.6228070175438597
FFNN,0.1,0.001,20,100,0.6228070175438597
FFNN,0.1,0.01,20,100,0.6228070175438597
FFNN,0.1,0.1,20,100,0.7631578947368421
FFNN,0.1,0.5,20,100,0.6228070175438597
FFNN,0.0001,0.001,5,200,0.37719298245614036
FFNN,0.0001,0.01,5,200,0.37719298245614036
FFNN,0.0001,0.1,5,200,0.6228070175438597
FFNN,0.0001,0.5,5,200,0.40350877192982454
FFNN,0.001,0.001,5,200,0.6228070175438597
FFNN,0.001,0.01,5,200,0.6228070175438597
FFNN,0.001,0.1,5,200,0.6228070175438597
FFNN,0.001,0.5,5,200,0.6228070175438597
FFNN,0.01,0.001,5,200,0.6228070175438597
FFNN,0.01,0.01,5,200,0.7105263157894737
FFNN,0.01,0.1,5,200,0.6228070175438597
FFNN,0.01,0.5,5,200,0.6228070175438597
FFNN,0.1,0.001,5,200,0.631578947368421
FFNN,0.1,0.01,5,200,0.6228070175438597
FFNN,0.1,0.1,5,200,0.6228070175438597
FFNN,0.1,0.5,5,200,0.7280701754385965
FFNN,0.0001,0.001,10,200,0.6228070175438597
FFNN,0.0001,0.01,10,200,0.37719298245614036
FFNN,0.0001,0.1,10,200,0.37719298245614036
FFNN,0.0001,0.5,10,200,0.2982456140350877
FFNN,0.001,0.001,10,200,0.37719298245614036
FFNN,0.001,0.01,10,200,0.631578947368421
FFNN,0.001,0.1,10,200,0.7368421052631579
FFNN,0.001,0.5,10,200,0.6228070175438597
FFNN,0.01,0.001,10,200,0.6228070175438597
FFNN,0.01,0.01,10,200,0.6228070175438597
FFNN,0.01,0.1,10,200,0.6228070175438597
FFNN,0.01,0.5,10,200,0.6228070175438597
FFNN,0.1,0.001,10,200,0.7192982456140351
FFNN,0.1,0.01,10,200,0.7894736842105263
FFNN,0.1,0.1,10,200,0.7192982456140351
FFNN,0.1,0.5,10,200,0.7456140350877193
FFNN,0.0001,0.001,15,200,0.37719298245614036
FFNN,0.0001,0.01,15,200,0.37719298245614036
FFNN,0.0001,0.1,15,200,0.37719298245614036
FFNN,0.0001,0.5,15,200,0.6228070175438597
FFNN,0.001,0.001,15,200,0.6228070175438597
FFNN,0.001,0.01,15,200,0.35964912280701755
FFNN,0.001,0.1,15,200,0.37719298245614036
FFNN,0.001,0.5,15,200,0.6228070175438597
FFNN,0.01,0.001,15,200,0.6228070175438597
FFNN,0.01,0.01,15,200,0.6228070175438597
FFNN,0.01,0.1,15,200,0.6228070175438597
FFNN,0.01,0.5,15,200,0.6228070175438597
FFNN,0.1,0.001,15,200,0.8596491228070176
FFNN,0.1,0.01,15,200,0.7017543859649122
FFNN,0.1,0.1,15,200,0.7719298245614035
FFNN,0.1,0.5,15,200,0.631578947368421
FFNN,0.0001,0.001,20,200,0.6228070175438597
FFNN,0.0001,0.01,20,200,0.37719298245614036
FFNN,0.0001,0.1,20,200,0.24561403508771928
FFNN,0.0001,0.5,20,200,0.6228070175438597
FFNN,0.001,0.001,20,200,0.37719298245614036
FFNN,0.001,0.01,20,200,0.6228070175438597
FFNN,0.001,0.1,20,200,0.10526315789473684
FFNN,0.001,0.5,20,200,0.6228070175438597
FFNN,0.01,0.001,20,200,0.6228070175438597
