function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
pgd_osl,0.01,N/A,N/A,False,N/A,N/A,575,0.04447470946438158
pdg_ridge,0.01,N/A,0.01,False,N/A,N/A,575,0.04495334997727653
pdg_ridge,0.01,N/A,0.05,False,N/A,N/A,575,0.04686668389044424
pdg_ridge,0.01,N/A,0.1,False,N/A,N/A,574,0.04925656868011288
pdg_ridge,0.01,N/A,0.5,False,N/A,N/A,572,0.06826001101512791
pgd_osl,0.1,N/A,N/A,False,N/A,N/A,67,0.044428650860951574
pdg_ridge,0.1,N/A,0.01,False,N/A,N/A,67,0.04490742727081543
pdg_ridge,0.1,N/A,0.05,False,N/A,N/A,68,0.046820460169452974
pdg_ridge,0.1,N/A,0.1,False,N/A,N/A,68,0.04920999848524366
pdg_ridge,0.1,N/A,0.5,False,N/A,N/A,70,0.06821452586063037
pgd_osl,0.2,N/A,N/A,False,N/A,N/A,34,0.04442592069817966
pdg_ridge,0.2,N/A,0.01,False,N/A,N/A,34,0.044904723674015115
pdg_ridge,0.2,N/A,0.05,False,N/A,N/A,35,0.046818022735940976
pdg_ridge,0.2,N/A,0.1,False,N/A,N/A,35,0.049207622082992765
pdg_ridge,0.2,N/A,0.5,False,N/A,N/A,37,0.0682123004324859
pgd_osl,0.5,N/A,N/A,False,N/A,N/A,13,0.04442441132775586
pdg_ridge,0.5,N/A,0.01,False,N/A,N/A,13,0.04490318069464915
pdg_ridge,0.5,N/A,0.05,False,N/A,N/A,13,0.04681702652284739
pdg_ridge,0.5,N/A,0.1,False,N/A,N/A,14,0.04920607505865669
pdg_ridge,0.5,N/A,0.5,False,N/A,N/A,15,0.0682099594351451
gdm_ols,0.01,0.1,N/A,False,N/A,N/A,522,0.044469260180996756
gdm_ridge,0.01,0.1,0.01,False,N/A,N/A,522,0.04494791021809094
gdm_ridge,0.01,0.1,0.05,False,N/A,N/A,521,0.04686225879866226
gdm_ridge,0.01,0.1,0.1,False,N/A,N/A,521,0.04925120830702749
gdm_ridge,0.01,0.1,0.5,False,N/A,N/A,519,0.06825501488891013
gdm_ols,0.1,0.1,N/A,False,N/A,N/A,60,0.044427937126236765
gdm_ridge,0.1,0.1,0.01,False,N/A,N/A,60,0.04490671755617772
gdm_ridge,0.1,0.1,0.05,False,N/A,N/A,60,0.04682060839886878
gdm_ridge,0.1,0.1,0.1,False,N/A,N/A,61,0.04920936002970412
gdm_ridge,0.1,0.1,0.5,False,N/A,N/A,63,0.06821397992977504
gdm_ols,0.2,0.1,N/A,False,N/A,N/A,30,0.044425438398798936
gdm_ridge,0.2,0.1,0.01,False,N/A,N/A,30,0.0449042374220109
gdm_ridge,0.2,0.1,0.05,False,N/A,N/A,30,0.04681820183288995
gdm_ridge,0.2,0.1,0.1,False,N/A,N/A,31,0.049207191000965336
gdm_ridge,0.2,0.1,0.5,False,N/A,N/A,33,0.06821170215227482
gdm_ols,0.5,0.1,N/A,False,N/A,N/A,9,0.04442433025633724
gdm_ridge,0.5,0.1,0.01,False,N/A,N/A,9,0.044903066608965994
gdm_ridge,0.5,0.1,0.05,False,N/A,N/A,10,0.0468165546057541
gdm_ridge,0.5,0.1,0.1,False,N/A,N/A,10,0.04920575323051094
gdm_ridge,0.5,0.1,0.5,False,N/A,N/A,11,0.0682090514989943
gdm_ols,0.01,0.2,N/A,False,N/A,N/A,468,0.04446407653080983
gdm_ridge,0.01,0.2,0.01,False,N/A,N/A,468,0.04494273618259304
gdm_ridge,0.01,0.2,0.05,False,N/A,N/A,468,0.0468561463524708
gdm_ridge,0.01,0.2,0.1,False,N/A,N/A,467,0.049246119872970076
gdm_ridge,0.01,0.2,0.5,False,N/A,N/A,466,0.06824932831480504
gdm_ols,0.1,0.2,N/A,False,N/A,N/A,53,0.04442698728003996
gdm_ridge,0.1,0.2,0.01,False,N/A,N/A,53,0.044905768104761094
gdm_ridge,0.1,0.2,0.05,False,N/A,N/A,53,0.04681966041875102
gdm_ridge,0.1,0.2,0.1,False,N/A,N/A,53,0.04920925967168194
gdm_ridge,0.1,0.2,0.5,False,N/A,N/A,55,0.0682139737846991
gdm_ols,0.2,0.2,N/A,False,N/A,N/A,25,0.04442525436302928
gdm_ridge,0.2,0.2,0.01,False,N/A,N/A,25,0.04490406364787861
gdm_ridge,0.2,0.2,0.05,False,N/A,N/A,26,0.04681746152476185
gdm_ridge,0.2,0.2,0.1,False,N/A,N/A,26,0.04920704051789459
gdm_ridge,0.2,0.2,0.5,False,N/A,N/A,28,0.06821136948064291
gdm_ols,0.5,0.2,N/A,False,N/A,N/A,9,0.044425142121235967
gdm_ridge,0.5,0.2,0.01,False,N/A,N/A,9,0.044903934297862914
gdm_ridge,0.5,0.2,0.05,False,N/A,N/A,10,0.04681779058728528
gdm_ridge,0.5,0.2,0.1,False,N/A,N/A,10,0.0492078218149517
gdm_ridge,0.5,0.2,0.5,False,N/A,N/A,14,0.06820876967008327
